obs_well_num,aquarius_id_guess,name,area
035,OW035,Stump Lake,Okanagan-fringe
047,OW047,Silver Star Mountain,Vernon
115,OW115,Mission Creek,Kelowna
117,OW117,Armstrong,Armstrong
118,OW118,Armstrong,Armstrong
122,OW122,Enderby,Enderby
154,OW154,Summerland,Summerland
172,OW172,Oyama,Oyama
180,OW180,Armstrong,Armstrong
185,OW185,Salmon River,Salmon Arm-fringe
203,OW203,Cawston,Similkameen
236,OW236,Rutland,Kelowna
262,OW262,Kelowna,Kelowna
264,OW264,Mt. Kobau,Osoyoos
282,OW282,Willowbrook/Meyers Flats,Oliver-Osoyoos
332,OW332,Oliver,Oliver
356,OW356,Winfield,Lake Country
401,OW401,Osoyoos,Osoyoos
402,OW402,Osoyoos,Osoyoos
405,OW405,Oliver,Oliver
407,OW407,Oliver,Oliver
411,OW411,West Kelowna,West Kelowna
412,OW412,Summerland,Summerland
413,OW413,SE Kelowna,Kelowna
442,OW442,Kelowna,Kelowna
506,OW506,Vaseux Creek,Okanagan Falls
